firearm_type,price,link,stock_status
Anderson AM-15 Forged Stripped AR15 Lower Receiver - Black | No Logo,$41.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-no-logo,Add To Cart
Anderson AM-15 Forged Stripped AR15 Lower Receiver - Black | Retail Packaging,$39.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-retail-packaging,Add To Cart
Anderson AM-15 Forged Stripped AR Lower - Black | Closed Trigger Guard | Retail Packaging,$39.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar-lower-black-closed-trigger-guard-retail-packaging,Add To Cart
Anderson AM-15 Forged Complete AR Lower - Black | M4 Buttstock,$149.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-complete-ar-lower-black-m4-buttstock,Add To Cart
E3 Arms Omega-15 Polymer Complete AR15 Lower Receiver - Black | M4 Buttstock | Gen II,$99.99,https://www.2ndamendmentwholesale.com/e3-arms-omega-15-polymer-complete-ar15-lower-receiver-black-m4-buttstock-gen-ii,Add To Cart
Anderson AM-15 Forged Stripped AR15 Lower Receiver - Black | Spartan Molon Labe Logo | Retail Packaging,$44.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-spartan-molon-labe-logo-retail-packaging,Add To Cart
"Battle Arms Development Forged WORKHORSE AR15 Rifle - Black | 5.56NATO | 16"" Barrel | 15"" M-LOK Free-Float Rail | Mil-Spec Charging Handle | B5 Stock | Nickel Teflon Trigger",$899.99,https://www.2ndamendmentwholesale.com/battle-arms-development-workhorse-rifle-black,Add To Cart
"CZ Scorpion EVO 3 S1 Pistol - Black | 9mm | 7.75"" Barrel | 20rd",$799.99,https://www.2ndamendmentwholesale.com/cz-scorpion-evo-3-s1-pistol-black-9mm-7-75-barrel-20rd,Add To Cart
Anderson AM-15 Forged Stripped AR15 Lower Receiver - Black | American Flag Logo,$49.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-american-flag-logo,Add To Cart
"Zastava ZPAP92 AK-47 Pistol BULGED TRUNNION 1.5MM RECEIVER - Stained Wood Handguard | 7.62x39 | 10"" Chrome Lined Barrel | Booster Brake | Rear Trunnion Picatinny Rail",$861.99,https://www.2ndamendmentwholesale.com/zastava-zpap92-ak-47-pistol-bulged-trunnion-1-5mm-receiver-stained-wood-handguard-7-62x39-10-chrome-lined-barrel-booster-brake-rear-trunnion-picatinny-rail,Add To Cart
ATI OMNI HYBRID Polymer MULTI-CAL Lower Receiver - Black | Stripped,$29.99,https://www.2ndamendmentwholesale.com/ati-omni-hybrid-polymer-multi-cal-lower-receiver-black-stripped,Add To Cart
"Zastava ZPAPM70 AK-47 Rifle BULGED TRUNNION 1.5MM RECEIVER - Walnut | 7.62x39 | 16.3"" Chrome Lined Barrel",$851.99,https://www.2ndamendmentwholesale.com/zastava-zpapm70-ak-47-rifle-bulged-trunnion-1-5mm-receiver-walnut-7-62x39-16-inch-chrome-lined-barrel,Add To Cart
KE Arms KE-15 Billet Complete AR15 Lower - Black | Mil-Spec Parts Kit | Flared Magwell,$299.99,https://www.2ndamendmentwholesale.com/ke-arms-ke-15-billet-complete-ar15-lower-black-mil-spec-parts-kit-flared-magwell,Add To Cart
"Masterpiece Arms Pistol - Black | 9mm | 4.5"" Threaded Barrel | 30rd | W/ Barrel Extension",$449.99,https://www.2ndamendmentwholesale.com/masterpiece-arms-pistol-black-9mm-4-5-threaded-barrel-30rd-w-barrel-extension,Add To Cart
"Zastava ZPAPM70 AK-47 Rifle BULGED TRUNNION 1.5MM RECEIVER - Black | 7.62x39 | 16.3"" Chrome Lined Barrel | Hogue Handguard",$861.99,https://www.2ndamendmentwholesale.com/zastava-zpapm70-ak-47-rifle-bulged-trunnion-1-5mm-receiver-black-7-62x39-16-3-chrome-lined-barrel-hogue-handguard,Add To Cart
"R Guns TRR15 Forged M4 AR15 Rifle - Black | 5.56NATO | 16"" Govt. Profile Barrel | A2 Handguard & Grip | A2 Front Sight & Flash Hider",$599.99,https://www.2ndamendmentwholesale.com/r-guns-trr15-forged-m4-ar15-rifle-556-nato,Add To Cart
Franklin Armory BFSIII Equipped M4-BLR Complete AR15 Lower Receiver - Black | Installed BSFIII Trigger | M4 Rifle Buttstock,$368.99,https://www.2ndamendmentwholesale.com/franklin-armory-bfsiii-equipped-m4-blr-complete-ar15-lower-receiver-black-installed-bsfiii-trigger-m4-rifle-buttstock,Add To Cart
"Anderson AM-15 Forged AR Rifle - Black | 5.56NATO | 16"" Barrel | A2 Handguard | M4 Buttstock | Optic-Ready",$449.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-ar-rifle-black-5-56nato-16-barrel-a2-handguard-m4-buttstock-optic-ready,Add To Cart
Anderson AM-15 Forged Complete AR Lower - Black | Pistol Buffer Tube,$149.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-complete-ar-lower-black-pistol-buffer-tube,Add To Cart
Anderson AM-15 Forged Stripped AR15 Lower Receiver - Black | Trump Punisher Logo | Retail Packaging,$49.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-trump-punisher-logo-retail-packaging,Add To Cart
Anderson AM-15 Forged Stripped AR15 Lower Receiver - Black | Don't Tread On Me Logo | Retail Packaging,$49.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-don-t-tread-on-me-logo-retail-packaging,Add To Cart
