firearm_type,price,link,stock_status
Altor Single Shot .380ACP,Our Price: $84.99,https://www.mgewholesale.com/ecommerce/Altor-Single-Shot-.380ACP.cfm?item_id=33794&parent=855&navPanel=0,Qty Available: 27
Altor Single Shot 9mm,Our Price: $89.99,https://www.mgewholesale.com/ecommerce/Altor-Single-Shot-9mm.cfm?item_id=33795&parent=855&navPanel=0,Qty Available: 26
AM-15. A4 Carb. 5.56,Our Price: $539.99,https://www.mgewholesale.com/ecommerce/AM-15.-A4-Carb.-5.56.cfm?item_id=36985&parent=855&navPanel=0,Qty Available: 8
AM-15. A4 Rifle 5.56,Our Price: $559.99,https://www.mgewholesale.com/ecommerce/AM-15.-A4-Rifle-5.56.cfm?item_id=37009&parent=855&navPanel=0,Qty Available: 4
AM-15. A4 Rifle 5.56,Our Price: $559.99,https://www.mgewholesale.com/ecommerce/AM-15.-A4-Rifle-5.56.cfm?item_id=36978&parent=855&navPanel=0,Qty Available: 6
AM-15. A4 pistol 5.56,Our Price: $539.99,https://www.mgewholesale.com/ecommerce/AM-15.-A4-pistol-5.56.cfm?item_id=37135&parent=855&navPanel=0,Qty Available: 10
"AOC 1911 .45 SS 5"" Bbl.",Our Price: $999.00,https://www.mgewholesale.com/ecommerce/AOC-1911-.45-SS-5-Bbl..cfm?item_id=36326&parent=855&navPanel=0,Qty Available: 1
Arex Delta M 9MM Black,Our Price: $350.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-M-9MM-Black.cfm?item_id=35393&parent=855&navPanel=0,Qty Available: 5
Arex Delta M 9MM FDE,Our Price: $350.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-M-9MM-FDE.cfm?item_id=35394&parent=855&navPanel=0,Qty Available: 8
Arex Delta M OR 9MM Black,Our Price: $370.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-M-OR-9MM-Black.cfm?item_id=35549&parent=855&navPanel=0,Qty Available: 5
Arex Delta L OR 9MM FDE,Our Price: $390.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-L-OR-9MM-FDE.cfm?item_id=35551&parent=855&navPanel=0,Qty Available: 15
Arex Delta X OR 9MM Black,Our Price: $380.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-X-OR-9MM-Black.cfm?item_id=35395&parent=855&navPanel=0,Qty Available: 4
Arex Delta X OR 9MM FDE,Our Price: $380.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-X-OR-9MM-FDE.cfm?item_id=35396&parent=855&navPanel=0,Qty Available: 2
Arex Delta M 9MM Gray,Our Price: $350.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-M-9MM-Gray.cfm?item_id=35552&parent=855&navPanel=0,Qty Available: 8
Arex Delta M OR 9MM Gray,Our Price: $370.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-M-OR-9MM-Gray.cfm?item_id=35553&parent=855&navPanel=0,Qty Available: 6
Arex Delta L OR 9MM Gray,Our Price: $390.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-L-OR-9MM-Gray.cfm?item_id=35397&parent=855&navPanel=0,Qty Available: 13
Arex Delta X OR 9MM Gray,Our Price: $380.00,https://www.mgewholesale.com/ecommerce/Arex-Delta-X-OR-9MM-Gray.cfm?item_id=35398&parent=855&navPanel=0,Qty Available: 5
"ATI Milsport 5.56 Pistol 7.5""",Our Price: $489.99,https://www.mgewholesale.com/ecommerce/ATI-Milsport-5.56-Pistol-7.5-.cfm?item_id=36980&parent=855&navPanel=0,Qty Available: 48
ATI Firefly .22 10rd Black,Our Price: $209.95,https://www.mgewholesale.com/ecommerce/ATI-Firefly-.22-10rd-Black.cfm?item_id=14190&parent=855&navPanel=0,Qty Available: 4
ATI GSG M1911 .22 black 10rd.,Our Price: $269.95,https://www.mgewholesale.com/ecommerce/ATI-GSG-M1911-.22-black-10rd..cfm?item_id=14193&parent=855&navPanel=0,Qty Available: 36
ATI M1911 .22 O-D 10rd.,Our Price: $269.95,https://www.mgewholesale.com/ecommerce/ATI-M1911-.22-O-D-10rd..cfm?item_id=14194&parent=855&navPanel=0,Qty Available: 46
ATI M1911 .22 Polished 10Rd.,Our Price: $269.95,https://www.mgewholesale.com/ecommerce/ATI-M1911-.22-Polished-10Rd..cfm?item_id=14195&parent=855&navPanel=0,Qty Available: 50+
ATI M1911 .22 10 Tan 10rd.,Our Price: $269.95,https://www.mgewholesale.com/ecommerce/ATI-M1911-.22-10-Tan-10rd..cfm?item_id=14196&parent=855&navPanel=0,Qty Available: 27
"Beretta 21A Bobcat .22LR,Matte",Our Price: $299.00,https://www.mgewholesale.com/ecommerce/Beretta-21A-Bobcat-.22LR-Matte.cfm?item_id=33607&parent=855&navPanel=0,Qty Available: 50+
Beretta Bobcat 21A .22LR TFS,Our Price: $410.00,https://www.mgewholesale.com/ecommerce/Beretta-Bobcat-21A-.22LR-TFS.cfm?item_id=33102&parent=855&navPanel=0,Qty Available: 27
BERETTA TOMCAT 3032 32ACP,Our Price: $399.00,https://www.mgewholesale.com/ecommerce/BERETTA-TOMCAT-3032-32ACP.cfm?item_id=14506&parent=855&navPanel=0,Qty Available: 50+
Beretta Tomcat 3032 .32ACP TFS,Our Price: $485.00,https://www.mgewholesale.com/ecommerce/Beretta-Tomcat-3032-.32ACP-TFS.cfm?item_id=33105&parent=855&navPanel=0,Qty Available: 35
