brand,model,price,link,stock_status,vendor
Anderson,AM-15 Forged Stripped AR15 Lower Receiver - Black | Retail Packaging,$42.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-retail-packaging,In Stock,Second Amendment Wholesale
Radical,"Firearms Forged AR15 Rifle - Black | 5.56NATO | 16"" Barrel | 15"" Free Float M-LOK Thin Rail | CAR-15 Style Stock",$419.99,https://www.2ndamendmentwholesale.com/radical-firearms-forged-ar15-rifle-black-5-56nato-16-barrel-15-free-float-m-lok-thin-rail-car-15-style-stock,In Stock,Second Amendment Wholesale
Anderson,AM-15 Forged Stripped AR Lower - Black | Closed Trigger Guard | Retail Packaging,$39.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar-lower-black-closed-trigger-guard-retail-packaging,In Stock,Second Amendment Wholesale
Diamondback,"DB15 AR Rifle - Black | 5.56NATO | 16"" Barrel | 12"" M-LOK Rail | A2 Grip | A2 Flash Hider | MOE Carbine Stock",$538.00,https://www.2ndamendmentwholesale.com/diamondback-db15-ar-rifle-black-5-56nato-16-barrel-12-m-lok-rail-a2-grip-a2-flash-hider-moe-carbine-stock,In Stock,Second Amendment Wholesale
E3,Arms Omega-15 Polymer Complete AR15 Lower Receiver - Black | M4 Buttstock | Gen II,$99.99,https://www.2ndamendmentwholesale.com/e3-arms-omega-15-polymer-complete-ar15-lower-receiver-black-m4-buttstock-gen-ii,In Stock,Second Amendment Wholesale
Anderson,AM-15 Forged Stripped AR15 Lower Receiver - Black | Spartan Molon Labe Logo | Retail Packaging,$44.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-spartan-molon-labe-logo-retail-packaging,In Stock,Second Amendment Wholesale
Radical,"Firearms Forged AR15 Rifle - Black | 7.62x39 | 16"" Heavy Barrel | 15"" Free Float M-LOK Thin Rail | CAR-15 Style Stock",$419.99,https://www.2ndamendmentwholesale.com/radical-firearms-forged-ar15-rifle-black-7-62x39-16-heavy-barrel-15-free-float-m-lok-thin-rail-car-15-style-stock,In Stock,Second Amendment Wholesale
Battle,"Arms Development Forged WORKHORSE AR15 Rifle - Black | 5.56NATO | 16"" Barrel | 15"" M-LOK Free-Float Rail | Mil-Spec Charging Handle | B5 Stock | Nickel Teflon Trigger",$949.99,https://www.2ndamendmentwholesale.com/battle-arms-development-workhorse-rifle-black,In Stock,Second Amendment Wholesale
CZ,"Scorpion EVO 3 S1 Pistol - Black | 9mm | 7.75"" Barrel | 20rd",$849.99,https://www.2ndamendmentwholesale.com/cz-scorpion-evo-3-s1-pistol-black-9mm-7-75-barrel-20rd,In Stock,Second Amendment Wholesale
Anderson,AM-15 Forged Stripped AR15 Lower Receiver - Black | American Flag Logo,$49.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-american-flag-logo,In Stock,Second Amendment Wholesale
